subindustry,total_companies,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
Consumer -> Virtual and Augmented Reality,3,Winter 2021,Winter 2025,3,Winter 2025,1,0.602,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.0,0.072,False,False,0.149,0.0,0.0,2.283,Low-volume / mixed,41,51,10
Fintech -> Credit and Lending,41,Winter 2021,Spring 2026,12,Winter 2021,11,3.274,2021,18,2.476,3.274,Summer 2026,0,0.0,-11,-9.0,-2.476,0.506,0.839,False,True,2.532,0.257,0.484,1.127,Declining,41,15,-26
Healthcare -> Diagnostics,20,Winter 2021,Spring 2026,9,Summer 2021,7,1.79,2021,10,1.376,0.893,Summer 2026,0,0.0,-3,-5.0,-1.376,0.171,0.404,False,True,1.341,0.257,0.384,1.191,Low-volume / mixed,41,28,-13
Fintech -> Payments,73,Winter 2021,Spring 2026,13,Winter 2022,16,4.02,2021,25,3.439,3.274,Summer 2026,0,0.0,-11,-12.5,-3.439,0.848,1.585,False,True,3.428,0.769,1.284,0.84,Declining,41,6,-35
"Consumer -> Travel, Leisure and Tourism",8,Summer 2021,Fall 2026,7,Fall 2024,1,1.064,2021,1,0.138,0.0,Summer 2026,0,0.0,0,-0.5,-0.138,0.0,0.205,True,False,0.128,0.0,0.0,1.604,Low-volume / mixed,41,51,10
Healthcare -> Industrial Bio,10,Winter 2021,Spring 2026,7,Summer 2024,2,0.806,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.171,0.227,False,False,0.425,0.257,0.0,1.23,Low-volume / mixed,41,43,2
Industrials -> Automotive,7,Winter 2021,Summer 2025,5,Fall 2024,1,1.064,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.0,0.189,False,False,0.425,0.0,0.0,1.674,Low-volume / mixed,41,43,2
Healthcare -> Medical Devices,22,Winter 2021,Spring 2026,7,Summer 2021,8,2.046,2021,11,1.513,0.893,Summer 2026,0,0.0,-3,-5.5,-1.513,0.171,0.419,False,True,1.47,0.257,0.0,1.449,Spiky,41,26,-15
Industrials -> Drones,10,Summer 2021,Fall 2026,7,Winter 2026,2,1.005,2021,2,0.275,0.0,Summer 2026,0,0.0,0,-1.0,-0.275,0.506,0.231,True,False,0.256,0.257,0.0,1.438,Low-volume / mixed,41,48,7
Real Estate and Construction,21,Winter 2022,Spring 2026,9,Summer 2025,3,1.807,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.677,0.602,True,False,0.0,0.513,0.768,0.958,Low-volume / mixed,41,58,17
