company_id,company_slug,batch,batch_code,year,tag
22668,hapi,Winter 2021,W21,2021,Cryptocurrency
23259,haystack,Winter 2021,W21,2021,Analytics
22876,hermes-robotics,Winter 2021,W21,2021,Autonomous Trucking
22876,hermes-robotics,Winter 2021,W21,2021,Hard Tech
22876,hermes-robotics,Winter 2021,W21,2021,Robotics
22876,hermes-robotics,Winter 2021,W21,2021,Defense
23242,homebreeze,Winter 2021,W21,2021,Marketplace
23242,homebreeze,Winter 2021,W21,2021,Real Estate
23242,homebreeze,Winter 2021,W21,2021,Proptech
23242,homebreeze,Winter 2021,W21,2021,Climate
23242,homebreeze,Winter 2021,W21,2021,Home Services
22983,homebase,Winter 2021,W21,2021,Fintech
22983,homebase,Winter 2021,W21,2021,Proptech
23266,houm,Winter 2021,W21,2021,Marketplace
23266,houm,Winter 2021,W21,2021,Proptech
22658,howdy-com,Winter 2021,W21,2021,B2B
22658,howdy-com,Winter 2021,W21,2021,Recruiting
22784,huddlefire,Winter 2021,W21,2021,SaaS
22942,hudu,Winter 2021,W21,2021,SaaS
22942,hudu,Winter 2021,W21,2021,B2B
22942,hudu,Winter 2021,W21,2021,Workflow Automation
22638,humaans,Winter 2021,W21,2021,SaaS
22638,humaans,Winter 2021,W21,2021,Human Resources
22638,humaans,Winter 2021,W21,2021,B2B
22638,humaans,Winter 2021,W21,2021,Enterprise
22638,humaans,Winter 2021,W21,2021,AI
23636,humance,Winter 2021,W21,2021,Artificial Intelligence
23636,humance,Winter 2021,W21,2021,Construction
23636,humance,Winter 2021,W21,2021,B2B
23636,humance,Winter 2021,W21,2021,Scheduling
22778,hyperglue,Winter 2021,W21,2021,Machine Learning
22778,hyperglue,Winter 2021,W21,2021,B2B
22778,hyperglue,Winter 2021,W21,2021,NLP
23280,infracost,Winter 2021,W21,2021,Developer Tools
23280,infracost,Winter 2021,W21,2021,DevSecOps
23280,infracost,Winter 2021,W21,2021,FinOps
23280,infracost,Winter 2021,W21,2021,B2B
23280,infracost,Winter 2021,W21,2021,Open Source
23062,inpharmd,Winter 2021,W21,2021,Artificial Intelligence
23062,inpharmd,Winter 2021,W21,2021,B2B
23062,inpharmd,Winter 2021,W21,2021,Telemedicine
22944,invoid,Winter 2021,W21,2021,Machine Learning
22944,invoid,Winter 2021,W21,2021,SaaS
22944,invoid,Winter 2021,W21,2021,B2B
23397,jetdocs,Winter 2021,W21,2021,SaaS
23397,jetdocs,Winter 2021,W21,2021,B2B
23440,jiga,Winter 2021,W21,2021,B2B
23440,jiga,Winter 2021,W21,2021,Manufacturing
23440,jiga,Winter 2021,W21,2021,Supply Chain
