batch,rank,subindustry,share_pct,count
Summer 2014,12,Industrials -> Manufacturing and Robotics,3.846,3
Summer 2014,13,B2B -> Retail,2.564,2
Summer 2014,14,Consumer -> Apparel and Cosmetics,2.564,2
Summer 2014,15,"Consumer -> Travel, Leisure and Tourism",2.564,2
Summer 2014,16,Consumer -> Social,2.564,2
Summer 2014,17,B2B -> Human Resources,2.564,2
Summer 2014,18,B2B -> Productivity,2.564,2
Summer 2014,19,B2B -> Finance and Accounting,2.564,2
Summer 2014,20,Consumer -> Content,2.564,2
Winter 2015,1,B2B -> Marketing,7.273,8
Winter 2015,2,"B2B -> Engineering, Product and Design",6.364,7
Winter 2015,3,Consumer -> Home and Personal,6.364,7
Winter 2015,4,B2B -> Retail,5.455,6
Winter 2015,5,Healthcare -> Consumer Health and Wellness,5.455,6
Winter 2015,6,B2B -> Productivity,4.545,5
Winter 2015,7,B2B -> Finance and Accounting,3.636,4
Winter 2015,8,Consumer -> Social,3.636,4
Winter 2015,9,B2B -> Infrastructure,3.636,4
Winter 2015,10,Real Estate and Construction -> Housing and Real Estate,3.636,4
Winter 2015,11,B2B -> Security,2.727,3
Winter 2015,12,Healthcare -> Healthcare IT,2.727,3
Winter 2015,13,Healthcare -> Medical Devices,2.727,3
Winter 2015,14,Unspecified,2.727,3
Winter 2015,15,Healthcare -> Diagnostics,2.727,3
Winter 2015,16,Fintech -> Banking and Exchange,2.727,3
Winter 2015,17,Government,2.727,3
Winter 2015,18,B2B -> Supply Chain and Logistics,2.727,3
Winter 2015,19,Fintech -> Payments,1.818,2
Winter 2015,20,Consumer -> Content,1.818,2
Summer 2015,1,Consumer -> Home and Personal,7.692,8
Summer 2015,2,B2B -> Recruiting and Talent,5.769,6
Summer 2015,3,"B2B -> Engineering, Product and Design",4.808,5
Summer 2015,4,B2B -> Human Resources,4.808,5
Summer 2015,5,B2B -> Security,4.808,5
Summer 2015,6,B2B -> Legal,2.885,3
Summer 2015,7,Consumer -> Apparel and Cosmetics,2.885,3
Summer 2015,8,B2B -> Retail,2.885,3
Summer 2015,9,Consumer -> Content,2.885,3
Summer 2015,10,Consumer -> Food and Beverage,2.885,3
Summer 2015,11,B2B -> Infrastructure,2.885,3
Summer 2015,12,"Consumer -> Travel, Leisure and Tourism",2.885,3
Summer 2015,13,B2B -> Supply Chain and Logistics,2.885,3
Summer 2015,14,Fintech,2.885,3
Summer 2015,15,Education,2.885,3
Summer 2015,16,Fintech -> Payments,2.885,3
Summer 2015,17,Healthcare -> Consumer Health and Wellness,2.885,3
Summer 2015,18,B2B -> Marketing,1.923,2
Summer 2015,19,Industrials -> Climate,1.923,2
Summer 2015,20,Healthcare -> Healthcare IT,1.923,2
Winter 2016,1,"B2B -> Engineering, Product and Design",8.197,10
Winter 2016,2,B2B -> Productivity,4.918,6
Winter 2016,3,B2B -> Marketing,4.098,5
Winter 2016,4,Consumer -> Consumer Electronics,4.098,5
Winter 2016,5,B2B -> Retail,4.098,5
Winter 2016,6,Healthcare -> Consumer Health and Wellness,4.098,5
Winter 2016,7,B2B -> Infrastructure,3.279,4
Winter 2016,8,B2B -> Sales,3.279,4
Winter 2016,9,Consumer -> Apparel and Cosmetics,3.279,4
Winter 2016,10,Consumer -> Home and Personal,3.279,4
Winter 2016,11,B2B -> Security,3.279,4
Winter 2016,12,Healthcare -> Diagnostics,3.279,4
Winter 2016,13,Healthcare -> Healthcare IT,2.459,3
Winter 2016,14,Healthcare -> Medical Devices,2.459,3
Winter 2016,15,Industrials -> Aviation and Space,2.459,3
Winter 2016,16,Unspecified,2.459,3
Winter 2016,17,Consumer -> Social,2.459,3
Winter 2016,18,Consumer -> Gaming,1.639,2
Winter 2016,19,B2B -> Supply Chain and Logistics,1.639,2
Winter 2016,20,Consumer -> Food and Beverage,1.639,2
Summer 2016,1,Consumer -> Home and Personal,9.804,10
Summer 2016,2,B2B -> Retail,4.902,5
Summer 2016,3,"B2B -> Engineering, Product and Design",4.902,5
Summer 2016,4,B2B,3.922,4
Summer 2016,5,Consumer -> Social,3.922,4
Summer 2016,6,B2B -> Finance and Accounting,3.922,4
Summer 2016,7,Education,3.922,4
Summer 2016,8,Consumer -> Consumer Electronics,2.941,3
Summer 2016,9,Consumer -> Apparel and Cosmetics,2.941,3
Summer 2016,10,Fintech -> Credit and Lending,2.941,3
Summer 2016,11,B2B -> Productivity,2.941,3
Summer 2016,12,Healthcare -> Healthcare IT,2.941,3
Summer 2016,13,"Consumer -> Travel, Leisure and Tourism",1.961,2
Summer 2016,14,Consumer -> Transportation Services,1.961,2
Summer 2016,15,B2B -> Sales,1.961,2
Summer 2016,16,Consumer,1.961,2
Summer 2016,17,Consumer -> Content,1.961,2
Summer 2016,18,Real Estate and Construction -> Housing and Real Estate,1.961,2
Summer 2016,19,Unspecified,1.961,2
Summer 2016,20,Consumer -> Virtual and Augmented Reality,1.961,2
Winter 2017,1,B2B -> Productivity,5.172,6
Winter 2017,2,Consumer -> Home and Personal,5.172,6
Winter 2017,3,B2B -> Office Management,4.31,5
